canonical_query_id,asset_id,filename,relevance,review_status
GQ001,v2_asset_034,牛_吃料_户外牧场_草料筐_03.mp4,2,已确认
GQ001,v2_asset_035,牛_吃料_牛舍_料槽_01.mp4,2,已确认
GQ001,v2_asset_036,牛_吃料_牛舍_料槽_02.mp4,2,已确认
GQ001,v2_asset_037,牛_吃料_牛舍_料槽_04.mp4,2,已确认
GQ001,v2_asset_038,牛_吃料_牛舍_料槽_07.mp4,2,已确认
GQ001,v2_asset_039,牛_吃料_牛舍_长料槽_05.mp4,2,已确认
GQ001,v2_asset_040,牛_吃料_牛舍_长料槽_06.mp4,2,已确认
GQ002,v2_asset_041,牛_喝水_户外牧场_水管_02.mp4,2,已确认
GQ002,v2_asset_042,牛_喝水_户外牧场_水盆_04.mp4,2,已确认
GQ002,v2_asset_043,牛_喝水_户外牧场_水桶_01.mp4,2,已确认
GQ002,v2_asset_044,牛_喝水_户外牧场_水桶_06.mp4,2,已确认
GQ002,v2_asset_045,牛_喝水_牛舍_水槽_03.mp4,2,已确认
GQ002,v2_asset_046,牛_喝水_牛舍_水槽_05.mp4,2,已确认
GQ003,v2_asset_051,羊_吃料_户外牧场_圆形料盆_07.mp4,2,已确认
GQ003,v2_asset_052,羊_吃料_室内羊舍_干草地面_06.mp4,2,已确认
GQ003,v2_asset_053,羊_吃料_室内羊舍_银色金属料槽_01.mp4,2,已确认
GQ003,v2_asset_054,羊_吃料_羊舍_料槽_04.mp4,2,已确认
GQ003,v2_asset_055,羊_吃料_羊舍_圆形料盆_02.mp4,2,已确认
GQ003,v2_asset_056,羊_吃料_羊舍_圆形料盆_05.mp4,2,已确认
GQ003,v2_asset_057,羊_吃料_羊舍_长料槽_03.mp4,2,已确认
GQ004,v2_asset_058,羊_喝水_户外牧场_水桶_05.mp4,2,已确认
GQ004,v2_asset_059,羊_喝水_户外牧场_长水槽_02.mp4,2,已确认
GQ004,v2_asset_060,羊_喝水_羊舍_饮水盆_01.mp4,2,已确认
GQ004,v2_asset_061,羊_喝水_羊舍_圆形水盆_03.mp4,2,已确认
GQ004,v2_asset_062,羊_喝水_羊舍_长水槽_04.mp4,2,已确认
GQ005,v2_asset_078,猪_吃料_户外猪场_饲料盆_01.mp4,2,已确认
GQ005,v2_asset_079,猪_吃料_户外猪场_饲料盆_03.mp4,2,已确认
GQ005,v2_asset_080,猪_吃料_户外猪场_饲料盆_04.mp4,2,已确认
GQ005,v2_asset_081,猪_吃料_猪舍_黄色料槽_05.mp4,2,已确认
GQ005,v2_asset_082,猪_吃料_猪舍_长料槽_02.mp4,2,已确认
GQ005,v2_asset_083,猪_吃料_猪舍_长料槽_06.mp4,2,已确认
GQ006,v2_asset_084,猪_喝水_户外猪场_泥水坑_02.mp4,2,已确认
GQ006,v2_asset_085,猪_喝水_户外猪场_水槽_05.mp4,2,已确认
GQ006,v2_asset_086,猪_喝水_猪舍_饮水槽_01.mp4,2,已确认
GQ006,v2_asset_087,猪_喝水_猪舍_饮水槽_03.mp4,2,已确认
GQ006,v2_asset_088,猪_喝水_猪舍_饮水槽_06.mp4,2,已确认
GQ006,v2_asset_089,猪_喝水_猪舍_自动饮水器_04.mp4,2,已确认
GQ007,v2_asset_012,工作人员_给猪打疫苗_户外猪场_黑猪_02.mp4,2,已确认
GQ007,v2_asset_013,工作人员_给猪打疫苗_户外猪场_群体猪_03.mp4,2,已确认
GQ007,v2_asset_014,工作人员_给猪打疫苗_猪舍_近距离操作_01.mp4,2,已确认
GQ007,v2_asset_015,工作人员_给猪打疫苗_猪舍_近距离操作_04.mp4,2,已确认
GQ007,v2_asset_016,工作人员_给猪打疫苗_猪舍_近距离注射_05.mp4,2,已确认
GQ008,v2_asset_065,仔猪_吃奶_产房限位栏_黄色稀粪_01.mp4,0,已确认
GQ008,v2_asset_066,仔猪_吃奶_母猪身旁_产床_01.mp4,2,已确认
GQ008,v2_asset_067,仔猪_吃奶_母猪身旁_产床_02.mp4,2,已确认
GQ008,v2_asset_068,仔猪_吃奶_母猪身旁_产床_03.mp4,2,已确认
GQ008,v2_asset_069,仔猪_吃奶_母猪身旁_产床_04.mp4,2,已确认
GQ008,v2_asset_070,仔猪_吃奶_母猪身旁_产床_05.mp4,2,已确认
GQ008,v2_asset_071,仔猪_吃奶_母猪身旁_产床_06.mp4,2,已确认
GQ009,v2_asset_020,工作人员_清理猪圈_户外猪场_人工操作_03.mp4,2,已确认
GQ009,v2_asset_021,工作人员_清理猪圈_户外猪场_猪舍清理_01.mp4,2,已确认
GQ010,v2_asset_022,工作人员_手持产品_猪舍_产品讲解_01.mp4,2,已确认
GQ010,v2_asset_023,工作人员_手持产品_猪舍_产品讲解_02.mp4,2,已确认
GQ011,v2_asset_002,产品_包装展示_户外草地_两袋包装_02.mov,2,已确认
GQ011,v2_asset_003,产品_包装展示_猪场_蓝白包装袋_01.mp4,2,已确认
GQ011,v2_asset_004,产品_包装展示_猪场_蓝白包装袋_02.mp4,2,已确认
GQ011,v2_asset_005,产品_包装展示_猪场_蓝白包装袋_03.mp4,2,已确认
GQ011,v2_asset_006,产品_包装展示_猪场_蓝白包装袋_04.mp4,2,已确认
GQ012,v2_asset_007,产品_手持包装_户外草地_白色饲料袋_01.mov,2,已确认
GQ012,v2_asset_008,产品_手持包装_户外草地_白色饲料袋_02.mov,2,已确认
GQ012,v2_asset_009,产品_手持包装_户外草地_单袋白色包装_04.mov,2,已确认
GQ012,v2_asset_010,产品_手持包装_户外草地_两袋白色包装_03.mov,2,已确认
GQ013,v2_asset_003,产品_包装展示_猪场_蓝白包装袋_01.mp4,2,已确认
GQ013,v2_asset_004,产品_包装展示_猪场_蓝白包装袋_02.mp4,2,已确认
GQ013,v2_asset_005,产品_包装展示_猪场_蓝白包装袋_03.mp4,2,已确认
GQ013,v2_asset_006,产品_包装展示_猪场_蓝白包装袋_04.mp4,2,已确认
GQ014,v2_asset_007,产品_手持包装_户外草地_白色饲料袋_01.mov,2,已确认
GQ014,v2_asset_008,产品_手持包装_户外草地_白色饲料袋_02.mov,2,已确认
GQ015,v2_asset_017,工作人员_讲解_猪舍_蓝色工作服_01.mp4,2,已确认
GQ015,v2_asset_018,工作人员_讲解_猪舍_蓝色工作服_02.mp4,2,已确认
GQ015,v2_asset_019,工作人员_讲解_猪舍_蓝色工作服_03.mp4,2,已确认
GQ016,v2_asset_024,工作人员_展示牛群_牛舍_灰色工作服_01.mp4,2,已确认
GQ017,v2_asset_025,母猪_进食_猪舍料槽_体况过肥_02.mp4,2,已确认
GQ018,v2_asset_026,母猪_拒食_猪舍料槽_消化问题_01.mp4,2,已确认
GQ019,v2_asset_027,母猪_躺卧休息_清洁猪舍_消化问题_02.mp4,2,已确认
GQ019,v2_asset_028,母猪_躺卧休息_猪舍_精神低落_01.mp4,2,已确认
GQ019,v2_asset_029,母猪_躺卧休息_猪舍_体况过肥_01.mp4,2,已确认
GQ019,v2_asset_030,母猪_躺卧休息_猪舍_体况偏瘦_03.mp4,2,已确认
GQ020,v2_asset_031,母猪_站立_猪舍_体况良好_01.mov,2,已确认
GQ020,v2_asset_032,母猪_站立_猪舍_体况偏瘦_01.mov,2,已确认
GQ020,v2_asset_033,母猪_站立_猪舍_体况偏瘦_02.mov,2,已确认
GQ021,v2_asset_030,母猪_躺卧休息_猪舍_体况偏瘦_03.mp4,2,已确认
GQ021,v2_asset_032,母猪_站立_猪舍_体况偏瘦_01.mov,2,已确认
GQ021,v2_asset_033,母猪_站立_猪舍_体况偏瘦_02.mov,2,已确认
GQ022,v2_asset_025,母猪_进食_猪舍料槽_体况过肥_02.mp4,2,已确认
GQ022,v2_asset_029,母猪_躺卧休息_猪舍_体况过肥_01.mp4,2,已确认
GQ023,v2_asset_072,仔猪_活动_产房_栏位内_01.mp4,2,已确认
GQ024,v2_asset_073,仔猪_活动_户外草地_群体_06.mp4,2,已确认
GQ024,v2_asset_074,仔猪_活动_户外猪舍_群体_04.mp4,2,已确认
GQ025,v2_asset_063,羊羔_活动_羊舍_群体幼羊_01.mp4,2,已确认
GQ026,v2_asset_047,鸭_活动_户外地面_群体_04.mp4,2,已确认
GQ026,v2_asset_048,鸭_活动_户外地面_双鸭_03.mp4,2,已确认
